Recipe Title,Has meat,Meat types,Meat quantity (kg),Carbon footprint,Rating,Website,Servings
"
	Caramelized Red Bell Peppers and Onions Recipe - Allrecipes.com
",False,[],0,0.0,4.5,allrecipes,4 servings
"
	Michele's Ground Beef Casserole Recipe - Allrecipes.com
",True,"['beef', 'cheese']","[0.4535147392290249, 0]",12.244897959183673,5.0,allrecipes,6 servings
"
	Herbed Cream Cheese Omelet Recipe - Allrecipes.com
",True,"['cheese', 'egg']","[0.11339797017633384, 0.048]",1.7612725973805068,4.0,allrecipes,4 servings
Breadsticks Recipe : Wolfgang Puck : Recipes : Food Network,False,[],0,0.0,5,food network,4 servings		
"
	Paul's Pumpkin Bars Recipe - Allrecipes.com
",True,"['egg', 'cheese']","[0.024, 0.11339797017633384]",1.6460725973805068,4.7,allrecipes,2 dozen
"
	Baked Ziti II Recipe - Allrecipes.com
",True,"['cheese', 'cheese', 'egg', 'cheese']","[0.680387821058003, 0.02834949254408346, 0.006, 0]",9.596753733628168,4.4,allrecipes,6 to 8 servings
Tuna and Crab Wraps/Crab and Avocado Wraps Recipe : Nigella Lawson : Recipes : Food Network,True,['tuna'],[0.5882519702897318],3.5883370187673633,4,food network,4 to 6 servings		
"
	Pound Cake  Recipe from Betty Crocker
",True,['egg'],[0.03],0.144,,betty crocker,24 servings
Lemon-Blueberry Bundt Cake Recipe | MyRecipes.com,True,['egg'],[0.024],0.1152,,myrecipes,Serves 12
"
	Oliebollen (Dutch Doughnuts) Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.5,allrecipes,1 dozen
"
	Slow Cooker Potato and Double-Corn Chowder  Recipe from Betty Crocker
",False,[],0,0.0,,betty crocker,6 servings 
"









Crispy Eggplant Fritters with Smoked Mozzarella Recipe
 at Epicurious.com",True,"['egg', 'egg', 'cheese', 'cheese', 'cheese']","[0.024, 0.012, 0, 0.6945625673300447, 0.0]",9.549394658955604,4.35,epicurious, Makes about 20 fritters
"
	Yogurt Chicken Recipe - Allrecipes.com
",True,['chicken'],[0],0.0,4.4,allrecipes,4 to 6 servings
"
	Proper English Cottage Pie Recipe - Allrecipes.com
",True,"['beef', 'beef', 'cheese']","[0.4535147392290249, 0, 0.11337868480725623]",13.775510204081632,4.4,allrecipes,6 servings
Steakhouse Sliders and Mini Steak Fries Recipe : Rachael Ray : Recipes : Food Network,True,['beef'],[0],0.0,4,food network,24 mini sliders		
Fried Crab Wontons Recipe : Tyler Florence : Recipes : Food Network,True,['egg'],[0.006],0.0288,5,food network,40 to 50 wontons		
"
	Red Velvet Cupcakes Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.2,allrecipes,20 cupcakes
"
	Chocolate Chocolate Chip Muffins Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.2,allrecipes,1 dozen
Marinated Tofu & Cashew Stir-fry Recipe - Taste.com.au,False,[],0,0.0,4.5,taste,Ingredients (serves 4)
Beatty's Chocolate Cake Recipe : Ina Garten : Recipes : Food Network,True,"['egg', 'egg']","[0.012, 0.006]",0.0864,5,food network,8 servings		
Minestrone Soup Recipe - Taste.com.au,False,[],0,0.0,4,taste,Ingredients (serves 6)
Baked Spring Rolls Recipe :   : Recipes : Food Network,True,['egg'],[0.006],0.0288,4,food network,14 servings		
