Recipe Title,Has meat,Meat types,Meat quantity (kg),Carbon footprint,Rating,Website,Servings
"
	Butternut Squash and Spicy Sausage Soup Recipe - Allrecipes.com
",True,"['turkey', 'chicken']","[0.5668934240362812, 0.4465045075693145]",9.260019424223735,4.4,allrecipes,8 servings
"
	Sun-Brewed Mint Tea Recipe - Allrecipes.com
",False,[],0,0.0,3.8,allrecipes,2 quarts
Good Brew Recipe : Alton Brown : Recipes : Food Network,True,['cheese'],[0],0.0,4,food network,5 gallons		
Turkey and Vegetable Soup Recipe : Emeril Lagasse : Recipes : Food Network,True,"['turkey', 'turkey']","[0, 0]",0.0,5,food network,6 to 8 servings		
"
	Cajun Style Baked Sweet Potato Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,4 servings
"
	Erica's Delicious Slow Cooker Beef Roast Recipe - Allrecipes.com
",True,['beef'],[0.9070294784580498],24.489795918367346,4.4,allrecipes,4 servings
"
	Perfect Pumpkin Pie Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.7,allrecipes,1 - 9 inch pie
Crustless Smoked Turkey and Spinach Quiche Recipe | MyRecipes.com,True,"['turkey', 'cheese', 'cheese', 'cheese', 'egg', 'egg']","[0.13466008958439643, 0.10631059704031298, 0, 0.035436865680104325, 0.012, 0.012]",3.4965857231955546,,myrecipes,8 servings (serving size: 1 wedge)
Spicy Shrimp Cakes with Corn and Avocado Salsa Recipe | MyRecipes.com,True,['egg'],[0.006],0.0288,,myrecipes,10 servings (serving size: 1 shrimp cake and about 3 tablespoons salsa)
"
	Easy Lasagna Soup Recipe - Allrecipes.com
",True,"['beef', 'cheese']","[0.4535147392290249, 0]",12.244897959183673,4.3,allrecipes,8 servings
Provencal Vegetable Gratin Recipe : Food Network Kitchens : Recipes : Food Network,False,[],0,0.0,5,food network,4 to 6 servings		
"
	Cream Filled Cupcakes Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.4,allrecipes,36 cupcakes
"
	Chocolate Ganache Recipe - Allrecipes.com
",False,[],0,0.0,4.8,allrecipes,2 cups
Turkey Larb Recipe : Giada De Laurentiis : Recipes : Food Network,True,['turkey'],[0.6802721088435374],7.414965986394558,5,food network,4 servings		
"
	Easy Tuna Casserole Recipe - Allrecipes.com
",True,"['tuna', 'chicken', 'cheese']","[0.19844644780858423, 0.3331065373929807, 0]",3.508958439643931,4.3,allrecipes,8 servings
"
	Kung Pao Chicken Recipe - Allrecipes.com
",True,['chicken'],[0.4535147392290249],3.129251700680272,4.3,allrecipes,4 servings
"
	Vegetable and Tofu Stir-fry Recipe - Allrecipes.com
",False,[],0,0.0,3.8,allrecipes,2 servings
Osso Buco Milanese Recipe : Tyler Florence : Recipes : Food Network,True,"['chicken', 'chicken', 'cheese']","[0, 0, 0]",0.0,5,food network,4 servings		
Slow-Cooked Tuscan Pork with White Beans Recipe | MyRecipes.com,True,['pork'],[1.1337868480725624],13.718820861678005,,myrecipes,8 servings (serving size: about 3 ounces pork and 1 cup bean mixture)
Pecan Pie Muffins Recipe | MyRecipes.com,True,['egg'],[0.012],0.0576,,myrecipes,Makes 24 muffins
"









Polenta and Black Bean Casserole Recipe
 at Epicurious.com",True,['cheese'],[0.368543403073085],4.975335941486647,4.4,epicurious, Makes 6 main-course servings
"
	Peanut Butter Fudge Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,1 - 8x8 inch dish
"
	Pan Seared Lemon Tilapia with Parmesan Pasta Recipe - Allrecipes.com
",True,['cheese'],[0],0.0,4.4,allrecipes,2 servings
Ham Steak over Greens with Apple-Cider Sauce Recipe | MyRecipes.com,True,['beef'],[0.4535147392290249],12.244897959183673,,myrecipes,"4 servings (serving size: 3 ounces ham, about 3/4 cup mustard greens, and 1 tablespoon cider sauce)"
"
	Sweet and Sour Meatballs Recipe - Allrecipes.com
",True,"['beef', 'egg']","[0.4535147392290249, 0.006]",12.273697959183673,4.2,allrecipes,2 to 3 dozen
"
	Caramel Pretzel Nut Popcorn Recipe - Allrecipes.com
",False,[],0,0.0,4.7,allrecipes,32 cups
Pumpkin Cheesecake With Caramelized Pecan Topping Recipe | MyRecipes.com,True,"['cheese', 'egg']","[0.2834949254408346, 0.012]",3.8847814934512668,,myrecipes,Makes 8 servings
"
	Thanksgiving No-Turkey Turkey Recipe - Allrecipes.com
",True,"['egg', 'chicken']","[0.033, 0.5386403583375857]",3.8750184725293417,4.3,allrecipes,10  servings
"
	Amazing Pork Tenderloin in the Slow Cooker Recipe - Allrecipes.com
",True,['pork'],[1.3605442176870748],16.462585034013603,4.1,allrecipes,6 servings
"
	Chocolate Cheesecake Recipe - Allrecipes.com
",True,"['cheese', 'egg']","[0.3118444179849181, 0.024]",4.325099642796394,4.5,allrecipes,1 (9-inch) cheesecake
"
	Orange Sauce Chicken Recipe - Allrecipes.com
",True,"['chicken', 'egg']","[0, 0.012]",0.0576,4.1,allrecipes,12 servings
Pecan Praline Morsels Recipe : Paula Deen : Recipes : Food Network,False,[],0,0.0,5,food network,2 cups sugared pecans		
Parsnip and Turnip Mash Recipe : Danny Boome : Recipes : Food Network,False,[],0,0.0,3,food network,4 servings		
"
	Beer Dip I Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0.2834949254408346, 0]",3.827181493451267,4.4,allrecipes,4 cups
"
	Barbecued Beef Liver Recipe - Allrecipes.com
",True,['beef'],[0.4535147392290249],12.244897959183673,4.4,allrecipes,4 servings
"
	Outrageous Chocolate Chip Cookies Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.7,allrecipes,3 dozen
"
	Apple Ugly Cake Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.6,allrecipes,12 servings
"
	Curried Quinoa Recipe - Allrecipes.com
",True,['chicken'],[0],0.0,4.4,allrecipes,2 servings
"
	Habanero Salsa Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,10 cups
"
	Authentic Louisiana Red Beans and Rice Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,8 servings
"









Spring Vegetables with Shallots and Lemon Recipe
 at Epicurious.com",False,[],0,0.0,4.7,epicurious, Serves 6
"
	Oven-Baked Chicken (Gluten Free)  Recipe from Betty Crocker
",True,"['egg', 'chicken']","[0.012, 1.8140589569160996]",12.574606802721089,,betty crocker,5 servings
"Goat Cheese, Apricot, and Sage-Stuffed Chicken Breasts Recipe :   : Recipes : Food Network",True,"['cheese', 'chicken', 'egg', 'chicken']","[0.15592220899245904, 1.8140589569160996, 0.006, 0]",14.650756624119285,5,food network,4 servings		
"
	Smoked Gouda Mac and Cheese Recipe - Allrecipes.com
",True,['cheese'],[0.11339797017633384],1.5308725973805068,3.8,allrecipes,8 servings
Cold Cauliflower Soup with Bacon and Croutons Recipe : Giada De Laurentiis : Recipes : Food Network,True,['chicken'],[0],0.0,5,food network,4 servings		
"









Watermelon Ice Recipe
 at Epicurious.com",False,[],0,0.0,4.4,epicurious, Serves 6
Flatbread Recipe : Bobby Flay : Recipes : Food Network,False,[],0,0.0,4,food network,4 individual flatbreads or 1 large flatbread		
"
	Salmon Croquettes Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.3,allrecipes,2 servings
"
	Smothered Pork Chops Recipe - Allrecipes.com
",True,"['pork', 'chicken']","[0, 0.4394171344332936]",3.0319782275897262,4.1,allrecipes,6 servings
"









Sweet-Potato Latkes Recipe
 at Epicurious.com",True,['egg'],[0.012],0.0576,4.6,epicurious, Makes about 26 pancakes
"









Spicy Macaroni and Cheese Recipe
 at Epicurious.com",False,[],0,0.0,4.3,epicurious, Serves 6 to 8
"
	Cranberry-Orange Relish  Recipe from Betty Crocker
",False,[],0,0.0,,betty crocker,About 2 1/2 cups relish
"









Peppermint Ice Cream Candyland Cake Recipe
 at Epicurious.com",True,['egg'],[0.006],0.0288,4.3,epicurious, Makes 12 servings
"
	Halloween Bloody Baked Rats Recipe - Allrecipes.com
",True,"['beef', 'egg', 'cheese']","[0.9070294784580498, 0.006, 0]",24.518595918367346,4.7,allrecipes,4 servings
Tempura Batter Recipe :   : Recipes : Food Network,False,[],0,0.0,5,food network,
Roasted Carrots and Beets with the Juiciest Pork Chops Recipe : Jamie Oliver : Recipes : Food Network,True,['pork'],[0],0.0,5,food network,4 servings		
"
	Tasteful Tahini Salad Dressing Recipe - Allrecipes.com
",False,[],0,0.0,4.5,allrecipes,2 cups
"
	Fried Broccoli Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,4 servings
"
	Pumpkin Apple Streusel Muffins Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.7,allrecipes,18 muffins
"
	Sicilian Ricotta Cheesecake Recipe - Allrecipes.com
",True,"['cheese', 'egg']","[0.9070294784580498, 0.036000000000000004]",12.417697959183673,4.3,allrecipes,1 - 9 1/2 inch round cheesecake
Spaghetti and Meatballs Recipe : Rachael Ray : Recipes : Food Network,True,"['egg', 'cheese', 'egg', 'beef', 'cheese', 'egg']","[0.006, 0.0015, 0.0015, 0, 0.0, 0.0]",0.056249999999999994,5,food network,4 servings		
"
	Quick Penne Pasta Salad with Balsamic Vinaigrette  Recipe from Betty Crocker
",True,['cheese'],[0.1417474627204173],1.9135907467256335,,betty crocker,8 servings
Peach Cobbler Recipe : Patrick and Gina Neely : Recipes : Food Network,True,['egg'],[0.006],0.0288,4,food network,8 to 10 servings		
"
	Easy Baked Chicken Wings Recipe - Allrecipes.com
",True,"['chicken', 'egg']","[1.3605442176870748, 0.012]",9.445355102040818,4.3,allrecipes,6 servings
"
	Vegetarian Turkey Stuffing Recipe - Allrecipes.com
",False,[],0,0.0,4.2,allrecipes,6 
White Clam Pizza Recipe : Food Network Kitchens : Recipes : Food Network,True,"['cheese', 'cheese']","[0.12757271644837556, 0]",1.7222316720530702,5,food network,4 servings		
"
	Honey Nut Granola Recipe - Allrecipes.com
",False,[],0,0.0,4.7,allrecipes,5 cups
"
	Roasted Garlic Bread Recipe - Allrecipes.com
",True,['cheese'],[0],0.0,4.6,allrecipes,8 servings
Sugar Cookies Recipe : Food Network Kitchens : Recipes : Food Network,True,['egg'],[0.006],0.0288,4,food network,about 5 dozen cookies		
Marinated Vegetable Salad Recipe : Paula Deen : Recipes : Food Network,False,[],0,0.0,5,food network,8 servings		
Baked Vidalia Onion Dip Recipe | MyRecipes.com,True,['cheese'],[0.2834949254408346],3.827181493451267,,myrecipes,6 cups
"
	Artichoke Dip Recipe - Allrecipes.com
",True,['cheese'],[0],0.0,4.2,allrecipes,5 cups
"
	Peanut Butter Fudge Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,1 - 8x8 inch dish
"
	Chicken Quesadillas Recipe - Allrecipes.com
",True,"['chicken', 'cheese', 'cheese']","[0.4535147392290249, 0.2551454328967511, 0.2551454328967511]",10.018178388892553,4.6,allrecipes,20 servings
"
	Oysters Rockefeller Recipe - Allrecipes.com
",False,[],0,0.0,4.9,allrecipes,24 oysters
Corned Beef Recipe : Alton Brown : Recipes : Food Network,True,['beef'],[4.535147392290249],122.44897959183673,5,food network,6 to 8 servings		
"
	Juicy Roasted Chicken Recipe - Allrecipes.com
",True,['chicken'],[1.8140589569160996],12.517006802721088,4.7,allrecipes,6 servings
"
	Absolutely Awesome BBQ Sauce Recipe - Allrecipes.com
",False,[],0,0.0,4.6,allrecipes,2 cups
Creamy Chicken Noodle Soup Recipe : Sandra Lee : Recipes : Food Network,True,"['chicken', 'chicken', 'egg']","[0, 0.5102908657935022, 0.012]",3.5786069739751656,4,food network,8 servings		
"
	Cucumber Sandwiches III Recipe - Allrecipes.com
",True,['cheese'],[0.2551454328967511],3.4444633441061403,4.6,allrecipes,35 servings
"
	Hearty Meatball Sandwich Recipe - Allrecipes.com
",True,"['beef', 'cheese']","[0.6802721088435374, 0.01417474627204173]",18.55870601344807,4.5,allrecipes,6 servings
Holly's Peach Flambe Cheesecake Recipe :   : Recipes : Food Network,True,"['cheese', 'egg']","[0.680387821058003, 0.018000000000000002]",9.27163558428304,5,food network,8 or 16 servings		
Chili Recipe :   : Recipes : Food Network,True,['beef'],[4.535147392290249],122.44897959183673,3,food network,12 to 16 servings		
Creamy Chicken And Sun-dried Tomato Pasta Recipe - Taste.com.au,True,['chicken'],[0],0.0,4.5,taste,Ingredients (serves 4)
Meatballs in BBQ Gravy Recipe : Michael Chiarello : Recipes : Food Network,True,['egg'],[0.006],0.0288,4,food network,6 servings		
Sliced Onions and Cucumbers Recipe : Paula Deen : Recipes : Food Network,False,[],0,0.0,5,food network,4 to 6 servings		
"
	Ramen Noodle Salad Recipe - Allrecipes.com
",True,['chicken'],[0.19844644780858423],1.3692804898792312,4.4,allrecipes,12 servings
Christmas Turkey Recipe :   : Recipes : Food Network,True,"['turkey', 'turkey', 'egg']","[8.16326530612245, 0.997732426303855, 0.012]",99.91247528344671,,food network,
Sweet and Spicy Chicken Drumettes Recipe : Giada De Laurentiis : Recipes : Food Network,True,['chicken'],[1.3605442176870748],9.387755102040817,5,food network,4 to 6 servings		
Bacon Wrapped Prawns with Chipotle BBQ Sauce Recipe : Guy Fieri : Recipes : Food Network,False,[],0,0.0,5,food network,4 to 6 servings		
Turkey Meatballs (Polpettone di Tachino) Recipe : Mario Batali : Recipes : Food Network,True,"['turkey', 'turkey', 'egg', 'egg']","[0.9070294784580498, 0.22675736961451246, 0.018000000000000002, 0.0015]",12.45187664399093,5,food network,6 servings		
Em's Mac n' Cheese Recipe : Emeril Lagasse : Recipes : Food Network,False,[],0,0.0,4,food network,6 to 8 servings		
"
	Date Filled Cookie Bars Recipe - Allrecipes.com
",False,[],0,0.0,4.2,allrecipes,1 -9x13 inch pan
"
	Spinach Lasagna II Recipe - Allrecipes.com
",True,"['egg', 'cheese', 'cheese', 'cheese']","[0.012, 0, 0, 0.22679594035266767]",3.1193451947610136,4.5,allrecipes,8 to 10 servings
"









Cranberry Mustard Recipe
 at Epicurious.com",True,['egg'],[0.012],0.0576,4.4,epicurious, Makes about 2 1/2 cups
"
	Cherry-Filled Cupcakes  Recipe from Betty Crocker
",False,[],0,0.0,,betty crocker,24 cupcakes
"









Barley and Lentil Soup with Swiss Chard Recipe
 at Epicurious.com",True,['chicken'],[0],0.0,4.7,epicurious, Makes 10 first-course or 6 main-course servings
"
	Cheesy Polenta Casserole Recipe - Allrecipes.com
",True,"['cheese', 'cheese', 'cheese']","[0, 0.021262119408062594, 0]",0.287038612008845,4.2,allrecipes,6 servings
Irish Rack of Lamb Recipe : Bobby Flay : Recipes : Food Network,True,['lamb'],[0],0.0,,food network,
Carrot Cake Recipe :   : Recipes : Food Network,True,"['egg', 'cheese']","[0.024, 0.3401939105290015]",4.70781779214152,5,food network,1 cake or 3 (9-inch) layers		
"
	Hungarian Goulash I Recipe - Allrecipes.com
",True,['beef'],[2.0408163265306123],55.10204081632653,4.3,allrecipes,8 servings
Homemade Gravy Recipe : Ina Garten : Recipes : Food Network,True,"['turkey', 'chicken']","[0, 0]",0.0,5,food network,3 cups		
"
	Valentino's Pizza Crust Recipe - Allrecipes.com
",False,[],0,0.0,4.6,allrecipes,1 -12 to 16 inch crust
"
	Dumpling Soup Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.3,allrecipes,6 servings
