Recipe Title,Has meat,Meat types,Meat quantity (kg),Carbon footprint,Rating,Website,Servings
"









Chinese Egg Rolls Recipe
 at Epicurious.com",True,"['egg', 'egg']","[0.012, 0.006]",0.0864,4.6,epicurious, Makes about 24
"
	Easy Beef Stew  Recipe from Betty Crocker
",True,['beef'],[0.6802721088435374],18.36734693877551,,betty crocker,6 servings
"
	Carol's Baked Ziti Casserole Recipe - Allrecipes.com
",True,"['egg', 'cheese', 'cheese', 'cheese', 'cheese']","[0.006, 0.45359188070533535, 0, 0.05669898508816692, 0]",6.917726688212281,5.0,allrecipes,12 servings
"
	Sugar Cookie Frosting Recipe - Allrecipes.com
",False,[],0,0.0,4.5,allrecipes,3 cups
"
	Red Bean and Rice Party Dip Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0.2834949254408346, 0]",3.827181493451267,5.0,allrecipes,60  (2-tablespoon) servings
"
	Homemade Black Bean Veggie Burgers Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.3,allrecipes,4 patties
"
	Argentine Lentil Stew Recipe - Allrecipes.com
",False,[],0,0.0,4.2,allrecipes,4 servings
"
	Homemade Stewed Tomatoes Recipe - Allrecipes.com
",False,[],0,0.0,3.8,allrecipes,16 servings
"
	Guacamole   Recipe from Betty Crocker
",False,[],0,0.0,,betty crocker,2 3/4 cups  dip
Sweet Potato Pancakes Recipe :   : Recipes : Food Network,True,['egg'],[0.012],0.0576,5,food network,4 to 6 servings		
"Chicken With Mushroom, Leek And Bacon Stuffing Recipe - Taste.com.au",True,"['chicken', 'egg']","[1.5, 0.006]",10.378800000000002,4.5,taste,Ingredients (serves 4)
"









Corn, Tomato and Basil Salad Recipe
 at Epicurious.com",False,[],0,0.0,4.45,epicurious, Makes 6 servings
Romesco Sauce Recipe | MyRecipes.com,True,['chicken'],[0],0.0,,myrecipes,4 1/2 cups (serving size: 1/4 cup)
"
	Best Italian Sausage Soup Recipe - Allrecipes.com
",True,['beef'],[0],0.0,4.6,allrecipes,8 servings
"
	Best Hamburger Ever Recipe - Allrecipes.com
",True,"['beef', 'cheese', 'egg']","[0.6802721088435374, 0.22675736961451246, 0.006]",21.457371428571427,4.0,allrecipes,4 Servings
Irish Soda Bread Recipe : Ina Garten : Recipes : Food Network,True,['egg'],[0.006],0.0288,5,food network,1 loaf		
"
	Taco Dip I Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0.2551454328967511, 0]",3.4444633441061403,4.7,allrecipes,25 servings
"Penne with Garbanzos, Escarole, and Plum Tomatoes Recipe | MyRecipes.com",False,[],0,0.0,,myrecipes,4 servings (serving size: 2 cups)
Chicken Corn Chowder Recipe | MyRecipes.com,True,"['chicken', 'chicken', 'cheese']","[0, 0.4252423881612519, 0.07087373136020865]",3.8909678516754553,,myrecipes,4 servings
"
	White Peach Sangria Recipe - Allrecipes.com
",False,[],0,0.0,4.7,allrecipes,6 servings
"
	Roasted-Vegetable Lasagna  Recipe from Betty Crocker
",True,"['cheese', 'cheese']","[0.5669898508816692, 0.1417474627204173]",9.567953733628167,,betty crocker,10 servings
"
	Curried Chicken Salad Recipe - Allrecipes.com
",True,['chicken'],[0],0.0,4.7,allrecipes,8 servings
"
	French Toast Casserole Recipe - Allrecipes.com
",True,['egg'],[0.024],0.1152,4.3,allrecipes,1 - 8x8 inch pan
"
	Vegan Brownies Recipe - Allrecipes.com
",False,[],0,0.0,4.2,allrecipes,16 brownies
"
	Quick Sunshine Cake Recipe - Allrecipes.com
",True,['egg'],[0.024],0.1152,4.6,allrecipes,1 - 9 x 13 inch cake
"









Croque-Monsieur Recipe
 at Epicurious.com",True,"['cheese', 'cheese']","[0.11339797017633384, 0]",1.5308725973805068,5.0,epicurious, Makes 2 servings; can be doubled
Strawberry Tarts Recipe : Ina Garten : Recipes : Food Network,False,[],0,0.0,5,food network,4 tarts		
Arugula with Parmesan Recipe : Ina Garten : Recipes : Food Network,False,[],0,0.0,4,food network,6 servings		
"
	Chicken Pasta Primavera Recipe - Allrecipes.com
",True,"['chicken', 'cheese']","[0, 0]",0.0,4.3,allrecipes,6 servings
"
	Rum-Pineapple Pound Cake Recipe - Allrecipes.com
",True,['egg'],[0.03],0.144,4.4,allrecipes,1 - 10 inch Bundt pan
"
	Pasta Deli Salad Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0.22675736961451246, 0]",3.061224489795918,4.4,allrecipes,12 servings
"
	Martha's Vegetable Beef Soup Recipe - Allrecipes.com
",True,['beef'],[0.22675736961451246],6.122448979591836,4.5,allrecipes,6 to 8 servings
"
	Mexican Mole Sauce Recipe - Allrecipes.com
",False,[],0,0.0,4.0,allrecipes,4 servings
Paula's Lemon Cake Recipe : Paula Deen : Recipes : Food Network,True,"['egg', 'egg', 'egg']","[0.024, 0.012, 0.048]",0.4032,4,food network,16 to 20 servings		
"
	Chile Rellenos Recipe - Allrecipes.com
",True,"['cheese', 'egg']","[0.4535147392290249, 0.006]",6.151248979591837,4.3,allrecipes,4 servings
Crab Ravioli in Creamy Tomato Sauce Recipe : Sandra Lee : Recipes : Food Network,True,"['cheese', 'egg']","[0, 0.006]",0.0288,3,food network,8 servings		
"
	Butternut Squash Casserole Recipe - Allrecipes.com
",False,[],0,0.0,4.4,allrecipes,6 servings
"
	Home Made Mayonnaise Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.2,allrecipes,1 cup
"
	Cream of Asparagus Soup II Recipe - Allrecipes.com
",True,['chicken'],[0],0.0,4.4,allrecipes,8 servings
"
	Stacey's Fabulous Purple Potato Gratin Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0.17009695526450075, 0]",2.29630889607076,4.3,allrecipes,4 servings
"
	Cosmo-Style Pomegranate Martini Recipe - Allrecipes.com
",False,[],0,0.0,4.9,allrecipes,1 cocktail
"
	Black Tea Lemonade Recipe - Allrecipes.com
",False,[],0,0.0,4.2,allrecipes,8 servings
"
	Real Homemade Bagels Recipe - Allrecipes.com
",False,[],0,0.0,4.7,allrecipes,6 bagels
Steakhouse Steaks Recipe : Ina Garten : Recipes : Food Network,True,['cheese'],[0.17009695526450075],2.29630889607076,5,food network,2 servings		
"
	Pico de Gallo Recipe - Allrecipes.com
",False,[],0,0.0,4.6,allrecipes,3 cups
"
	Ravishing Red Velvet Cake Recipe - Allrecipes.com
",True,"['egg', 'cheese']","[0.012, 0.2551454328967511]",3.50206334410614,3.9,allrecipes,1 - 2 layer 9 inch cake
"
	Fluffy Boiled Icing Recipe - Allrecipes.com
",True,['egg'],[0.012],0.0576,4.1,allrecipes,2 cups
"
	Broccoli-Cauliflower Salad Recipe - Allrecipes.com
",True,"['egg', 'cheese']","[0.012, 0]",0.0576,4.6,allrecipes,8 servings
"
	Thai Curry Tofu Recipe - Allrecipes.com
",False,[],0,0.0,4.0,allrecipes,4 servings
"
	Easy Meatballs  Recipe from Betty Crocker
",True,"['beef', 'egg']","[36.73469387755102, 0.006]",991.8655346938775,,betty crocker,4 servings
"
	Mexican Macaroni and Cheese  Recipe from Betty Crocker
",True,['cheese'],[0.17009695526450075],2.29630889607076,,betty crocker,4 servings 
Couscous Salad Recipe - Taste.com.au,True,['chicken'],[0],0.0,5,taste,Ingredients (serves 6)
"
	Sausage Cheese Balls (Gluten Free)  Recipe from Betty Crocker
",True,"['pork', 'cheese', 'cheese']","[0.11339797017633384, 0.21262119408062596, 0]",4.24250155922209,,betty crocker,About 4 dozen appetizers
"
	Kasha and Bowties (Kasha Varnishkas) Recipe - Allrecipes.com
",True,"['chicken', 'egg']","[0.41815501502523106, 0.078]",3.2596696036740944,4.6,allrecipes,2 quarts
"
	Lemon Icebox Pie III Recipe - Allrecipes.com
",True,['cheese'],[0.2834949254408346],3.827181493451267,4.4,allrecipes,1  - 9 inch pie
"
	Auntie Doris's Peach Jam Recipe - Allrecipes.com
",False,[],0,0.0,3.8,allrecipes,6 pints
"
	Cheesy Polenta Casserole Recipe - Allrecipes.com
",True,"['cheese', 'cheese', 'cheese']","[0, 0.021262119408062594, 0]",0.287038612008845,4.2,allrecipes,6 servings
"
	Chocolate-Caramel-Nut Cake  Recipe from Betty Crocker
",True,['egg'],[0.024],0.1152,,betty crocker,16 servings
Pork Chop Suey Recipe | MyRecipes.com,True,"['pork', 'chicken']","[0.9070294784580498, 0]",10.975056689342402,,myrecipes,"4 servings (serving size: 1 1/2 cups chop suey, 1/2 cup rice, and 1 tablespoon onions)"
"
	Orange Teriyaki Beef with Noodles  Recipe from Betty Crocker
",True,"['beef', 'beef', 'egg']","[0.4535147392290249, 0.9567953733628167, 0.027]",38.20797303997973,,betty crocker,4 servings
"
	Easy Batter Fruit Cobbler Recipe - Allrecipes.com
",False,[],0,0.0,4.5,allrecipes,4 servings
French Onion Soup Recipe : Sandra Lee : Recipes : Food Network,True,"['beef', 'beef']","[0.45359188070533535, 0.3401939105290015]",21.432216363327097,4,food network,8 servings		
Roasted Beet Salad Recipe : Paula Deen : Recipes : Food Network,True,['cheese'],[0],0.0,4,food network,6 to 8 servings		
"
	Banana Apple Bread Recipe - Allrecipes.com
",True,['egg'],[0.024],0.1152,4.2,allrecipes,2 7x3-inch loaves
"
	King Ranch Chicken Casserole I Recipe - Allrecipes.com
",True,"['chicken', 'chicken', 'cheese']","[1.8140589569160996, 0.3331065373929807, 0]",14.815441910732654,4.3,allrecipes,8 servings
Shrimp Etouffee Recipe : Emeril Lagasse : Recipes : Food Network,False,[],0,0.0,5,food network,about 10 servings		
"
	Best Roasted Red Pepper Spread Recipe - Allrecipes.com
",False,[],0,0.0,4.5,allrecipes,8 servings
"









Cranberry Orange Relish Recipe
 at Epicurious.com",False,[],0,0.0,5.0,epicurious, Makes 8 servings
"
	Impossibly Easy Breakfast Bake (Crowd Size)  Recipe from Betty Crocker
",True,"['pork', 'cheese', 'egg']","[0.39689289561716845, 0.2834949254408346, 0.024]",8.744785530419005,,betty crocker,12 servings 
Organic Whole Wheat Sandwich Bread with Oats and Pecans Recipe :   : Recipes : Food Network,False,[],0,0.0,4,food network,50 min
"
	Brown Sugar and Port Cranberry Sauce Recipe - Allrecipes.com
",False,[],0,0.0,4.7,allrecipes,8 servings
Coconut Crusted Crab Cakes Recipe :   : Recipes : Food Network,False,[],0,0.0,5,food network,4 servings		
"
	Grilled Asian Chicken Recipe - Allrecipes.com
",True,['chicken'],[0],0.0,4.5,allrecipes,4 servings
"
	Carol's Baked Ziti Casserole Recipe - Allrecipes.com
",True,"['egg', 'cheese', 'cheese', 'cheese', 'cheese']","[0.006, 0.45359188070533535, 0, 0.05669898508816692, 0]",6.917726688212281,5.0,allrecipes,12 servings
Sesame Snow Peas Recipe : Emeril Lagasse : Recipes : Food Network,False,[],0,0.0,5,food network,6 servings		
"
	Ground Turkey Casserole Recipe - Allrecipes.com
",True,"['turkey', 'cheese', 'egg', 'cheese']","[0.4535147392290249, 0.2551454328967511, 0.078, 0]",8.762174001702512,4.0,allrecipes,8 servings
"
	Red Cabbage With Apricots And Balsamic Vinegar Recipe - Allrecipes.com
",False,[],0,0.0,3.0,allrecipes,6 servings
Grilled Salmon and Spinach Salad Recipe | MyRecipes.com,False,[],0,0.0,,myrecipes,4 servings
Rosemary-Garlic Roasted Potatoes Recipe :   : Recipes : Food Network,False,[],0,0.0,5,food network,8 to 10 servings		
"
	Soda Cracker Candy Recipe - Allrecipes.com
",False,[],0,0.0,4.6,allrecipes,8 servings
"
	Old Plantation Rolls Recipe - Allrecipes.com
",True,['egg'],[0.006],0.0288,4.6,allrecipes,2 dozen
"
	Wild River Bloody Mary Mix Recipe - Allrecipes.com
",False,[],0,0.0,4.6,allrecipes,12 servings
"
	The Best Mashed Potatoes Recipe - Allrecipes.com
",True,"['cheese', 'cheese']","[0, 0]",0.0,4.4,allrecipes,12 servings
"
	Cucumber Salad I Recipe - Allrecipes.com
",False,[],0,0.0,4.1,allrecipes,4 servings
"
	Quick and Easy Chicken Chili Recipe - Allrecipes.com
",True,['chicken'],[0.4535147392290249],3.129251700680272,4.6,allrecipes,10 servings
Spaghetti or Not Recipe : Food Network Kitchens : Recipes : Food Network,False,[],0,0.0,4,food network,35 min
"
	Tuna Stuffed Mushrooms Recipe - Allrecipes.com
",True,"['tuna', 'cheese']","[3.1746031746031744, 0.08504847763225037]",20.513233813114745,4.2,allrecipes,10 servings
"
	Homemade Stewed Tomatoes Recipe - Allrecipes.com
",False,[],0,0.0,3.8,allrecipes,16 servings
